dataset,pct_nulls,start_index,end_index,seed,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,nulls,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
contraceptive,5,1324,1372,1234,60.2832200900002,1.10888162099968,61.3921017109999,16,10,0.851897358894348
contraceptive,5,1373,1421,1234,62.2118094389991,0.710076928999797,62.9218863679989,16,12,0.903963327407837
contraceptive,5,1422,1470,1234,64.4755207179996,0.551011694000863,65.0265324120005,16,10,0.894226372241974
contraceptive,5,1471,1472,1234,64.5541334069994,0.000462888000129169,64.5545962949996,0,0,0
contraceptive,10,0,490,1234,20.4844419280003,0.620006989000103,21.1044489170004,392,245,0.880205690860748
contraceptive,10,491,539,1234,24.5110080400009,0.18739782800094,24.6984058680018,32,21,0.877663969993591
contraceptive,10,540,588,1234,26.0112966410011,0.46507673699989,26.476373378001,32,18,0.859850943088532
contraceptive,10,589,637,1234,27.9396965130009,0.272824620000392,28.2125211330012,32,23,0.912818431854248
contraceptive,10,638,686,1234,30.2088430479998,0.331464990999393,30.5403080389992,32,16,0.832051873207092
contraceptive,10,687,735,1234,32.2533187449999,0.383920516998842,32.6372392619987,32,18,0.859552025794983
contraceptive,10,736,784,1234,34.4965533509999,1.00324463300012,35.499797984,32,17,0.865377426147461
contraceptive,10,785,833,1234,36.7633011249995,0.26449675799995,37.0277978829995,32,16,0.814620971679688
contraceptive,10,834,882,1234,38.7624830209998,0.422442853999655,39.1849258749994,32,18,0.87707245349884
contraceptive,10,883,931,1234,40.9752850410005,0.829638753999461,41.8049237949999,32,21,0.886793315410614
contraceptive,10,932,980,1234,43.2001879139998,0.813088199000049,44.0132761129999,32,15,0.838996648788452
contraceptive,10,981,1029,1234,45.4064033190002,0.185559196000213,45.5919625150004,32,22,0.921785116195679
contraceptive,10,1030,1078,1234,47.8169876200013,0.3139622220001,48.1309498420014,32,25,0.936234176158905
contraceptive,10,1079,1127,1234,50.1603267689993,0.150330780000786,50.3106575490001,32,23,0.91373610496521
contraceptive,10,1128,1176,1234,51.5897968559998,0.128463019000719,51.7182598750005,32,21,0.892466247081757
contraceptive,10,1177,1225,1234,53.5583489979995,0.391727248998905,53.9500762469984,32,19,0.850444197654724
contraceptive,10,1226,1274,1234,55.8079459570004,0.509815572999742,56.3177615300001,32,20,0.880560398101807
contraceptive,10,1275,1323,1234,57.9197095149993,0.272946123000111,58.1926556379995,32,20,0.881478846073151
contraceptive,10,1324,1372,1234,60.2538294810006,0.434128841000529,60.6879583220011,32,15,0.808442175388336
contraceptive,10,1373,1421,1234,62.1831197879997,0.258357910000541,62.4414776980002,32,20,0.864290595054627
contraceptive,10,1422,1470,1234,64.3869642609989,0.14163765199919,64.5286019129981,32,20,0.884555995464325
contraceptive,10,1471,1472,1234,64.6810725410005,0.000470663999294629,64.6815432049998,0,0,0
contraceptive,20,0,490,1234,18.5485679839994,0.937588532000518,19.4861565159999,784,509,0.896849036216736
contraceptive,20,491,539,1234,23.6238393789999,0.385493919998225,24.0093332989982,72,46,0.882527232170105
contraceptive,20,540,588,1234,25.8059752209992,0.549414360999435,26.3553895819987,72,43,0.868497669696808
contraceptive,20,589,637,1234,27.7723675520001,1.05332571800045,28.8256932700006,72,47,0.893878281116486
contraceptive,20,638,686,1234,30.1622020780005,0.82215829300003,30.9843603710005,72,40,0.851215302944183
contraceptive,20,687,735,1234,32.4917388849999,0.527425047998804,33.0191639329987,72,42,0.870987951755524
contraceptive,20,736,784,1234,34.3599112820011,0.687261699998089,35.0471729819992,72,42,0.863241612911224
contraceptive,20,785,833,1234,36.4535871919979,0.304657782999129,36.7582449749971,72,34,0.819737553596497
contraceptive,20,834,882,1234,38.811013008999,1.34799775299962,40.1590107619986,72,39,0.864477932453156
contraceptive,20,883,931,1234,40.8856100460007,0.150945291001335,41.036555337002,72,42,0.87445467710495
contraceptive,20,932,980,1234,43.2239842030012,0.612074085001041,43.8360582880023,72,35,0.838538825511932
contraceptive,20,981,1029,1234,45.430526565,0.30658260799828,45.7371091729983,72,48,0.900498270988464
contraceptive,20,1030,1078,1234,47.7479372229991,0.512324932999945,48.260262155999,72,50,0.923156082630158
contraceptive,20,1079,1127,1234,49.2098675410025,0.364073767000264,49.5739413080028,72,50,0.916251957416534
contraceptive,20,1128,1176,1234,51.4133940759975,0.348499782001454,51.761893857999,72,44,0.883720934391022
contraceptive,20,1177,1225,1234,53.6131079350007,0.191004757998599,53.8041126929993,72,45,0.871029555797577
contraceptive,20,1226,1274,1234,55.5130470550021,0.142295089998697,55.6553421450008,72,45,0.86639541387558
contraceptive,20,1275,1323,1234,57.8816710990004,0.407243815999209,58.2889149149996,72,44,0.871736943721771
contraceptive,20,1324,1372,1234,60.0123644739997,0.176589817001513,60.1889542910012,72,41,0.844088315963745
contraceptive,20,1373,1421,1234,62.0615552600002,0.339927638999143,62.4014828989994,72,39,0.841627061367035
contraceptive,20,1422,1470,1234,64.4289474360003,0.288100613998722,64.717048049999,72,37,0.85676246881485
contraceptive,20,1471,1472,1234,64.580652529,0.000393740001527476,64.5810462690015,0,0,0
contraceptive,40,0,490,1234,15.0362787519971,2.17398927899922,17.2102680309963,1568,995,0.888861179351807
contraceptive,40,491,539,1234,23.3764715209991,1.6439553400005,25.0204268609996,152,88,0.862333595752716
contraceptive,40,540,588,1234,25.7580442789995,0.753652203998172,26.5116964829977,152,91,0.875287890434265
