dataset,start_index,end_index,pct_nulls,seed,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,nulls,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
adultsample,1800,1899,20,1234,118.450991339001,0.917289000000892,119.368280339002,180,116,0.894244432449341
adultsample,1900,1999,20,1234,124.883286827995,1.09990640799879,125.983193235994,180,119,0.886845767498016
adultsample,2000,2099,20,1234,130.487106930997,1.69184531399878,132.178952244996,180,116,0.887092590332031
adultsample,2100,2199,20,1234,137.09029027,1.06042950399933,138.150719773999,180,121,0.898460745811462
adultsample,2200,2299,20,1234,143.374595400004,1.83381277900116,145.208408179005,180,124,0.901044249534607
adultsample,2300,2399,20,1234,149.242423094998,0.568005608995009,149.810428703993,180,122,0.895974576473236
adultsample,2400,2499,20,1234,155.736411360998,0.828968267000164,156.565379627998,180,117,0.897505819797516
adultsample,2500,2599,20,1234,162.092149656999,1.20706381100354,163.299213468003,180,126,0.906940996646881
adultsample,2600,2699,20,1234,168.337604715,1.40043891800633,169.738043633006,180,123,0.895331740379334
adultsample,2700,2799,20,1234,174.542294106002,1.52908211499562,176.071376220998,180,118,0.893412292003632
adultsample,2800,2899,20,1234,180.570267801002,0.965641266000603,181.535909067003,180,124,0.904905915260315
adultsample,2900,2999,20,1234,186.637701045998,1.7248960149991,188.362597060997,180,127,0.902697503566742
adultsample,3000,3015,20,1234,188.499001963004,1.17880309700558,189.67780506001,27,20,0.934031784534454
adultsample,0,999,40,1234,46.5060961479958,5.09256507800092,51.5986612259967,3600,2146,0.880397081375122
adultsample,1000,1099,40,1234,67.3682820939994,1.10622229899855,68.4745043929979,360,217,0.879855871200562
adultsample,1100,1199,40,1234,73.5132489460011,1.25354779799454,74.7667967439957,360,214,0.876083731651306
adultsample,1200,1299,40,1234,80.1885225599981,1.41512813199734,81.6036506919954,360,224,0.886062324047089
adultsample,1300,1399,40,1234,86.2862098939986,1.67192491400056,87.9581348079992,360,213,0.879591226577759
adultsample,1400,1499,40,1234,92.7495644499977,1.43530089800333,94.184865348001,360,210,0.876767516136169
adultsample,1500,1599,40,1234,98.719182406001,1.11744430999715,99.8366267159981,360,218,0.8800048828125
adultsample,1600,1699,40,1234,105.336074061997,1.32001713600221,106.656091198,360,216,0.87796550989151
adultsample,1700,1799,40,1234,110.815870477001,1.10721263699816,111.923083113999,360,217,0.883857071399689
adultsample,1800,1899,40,1234,117.286122168003,0.958749282997815,118.244871451001,360,220,0.890824258327484
adultsample,1900,1999,40,1234,123.328204106001,0.586188149001828,123.914392255003,360,218,0.884007036685944
adultsample,2000,2099,40,1234,129.632910804001,0.965580879999834,130.598491684001,360,213,0.876253545284271
adultsample,2100,2199,40,1234,135.905403407998,0.698556055000154,136.603959462998,360,231,0.897255301475525
adultsample,2200,2299,40,1234,142.647796645002,1.37148404599611,144.019280690998,360,221,0.882431328296661
adultsample,2300,2399,40,1234,148.756053985997,1.86061909900127,150.616673084998,360,229,0.888568818569183
adultsample,2400,2499,40,1234,154.954188919995,1.04705213100351,156.001241050999,360,221,0.883987784385681
adultsample,2500,2599,40,1234,161.060720751004,2.02670047400898,163.087421225013,360,222,0.888693749904633
adultsample,2600,2699,40,1234,167.123524956998,1.27259880400379,168.396123761002,360,227,0.887544095516205
adultsample,2700,2799,40,1234,173.235360977997,0.974478890999308,174.209839868996,360,228,0.89054811000824
adultsample,2800,2899,40,1234,179.632938289997,1.06255843199324,180.69549672199,360,220,0.887515783309937
adultsample,2900,2999,40,1234,185.941797545998,1.11713926997982,187.058936815978,360,225,0.890261590480804
adultsample,3000,3015,40,1234,188.102077779,0.408515385002829,188.510593164003,54,39,0.928381323814392
