dataset,pct_nulls,start_index,end_index,seed,nulls,training_time_IPM_70_30,imputation_time_IPM_70_30,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
credit,20,548,569,1234,40,16.0067752080001,0.612496915999884,16.619272124,32,0.955752551555634
credit,20,570,591,1234,40,16.0067752080001,0.492916976999879,16.499692185,15,0.867961406707764
credit,20,592,613,1234,40,16.0067752080001,0.516274133000081,16.5230493410002,22,0.888899505138397
credit,20,614,635,1234,40,16.0067752080001,1.1406776039999,17.147452812,21,0.876521289348602
credit,20,636,652,1234,30,16.0067752080001,1.42454987499997,17.4313250830001,16,0.884033381938934
credit,40,0,217,1234,870,13.908191285,1.16716113599989,15.0753524209999,585,0.92599892616272
credit,40,218,239,1234,80,13.908191285,0.675205485000049,14.5833967700001,60,0.945004642009735
credit,40,240,261,1234,80,13.908191285,0.185210123000161,14.0934014080002,48,0.902625262737274
credit,40,262,283,1234,80,13.908191285,0.925801732000025,14.8339930170001,31,0.859460532665253
credit,40,284,305,1234,80,13.908191285,0.393257845999983,14.301449131,37,0.870978355407715
credit,40,306,327,1234,80,13.908191285,0.983102156999962,14.891293442,31,0.86459618806839
credit,40,328,349,1234,80,13.908191285,0.290265084000112,14.1984563690002,33,0.861975491046906
credit,40,350,371,1234,80,13.908191285,0.370326873999943,14.278518159,28,0.846965253353119
credit,40,372,393,1234,80,13.908191285,0.793417817000091,14.7016091020001,33,0.857456505298615
credit,40,394,415,1234,80,13.908191285,1.25799689799976,15.1661881829998,36,0.869419872760773
credit,40,416,437,1234,80,13.908191285,0.77768263300004,14.6858739180001,37,0.866127967834473
credit,40,438,459,1234,80,13.908191285,1.19593878100011,15.1041300660002,39,0.876731872558594
credit,40,460,481,1234,80,13.908191285,0.58736771100007,14.4955589960001,46,0.905941009521484
credit,40,482,503,1234,80,13.908191285,0.795317710000063,14.7035089950001,50,0.917555272579193
credit,40,504,525,1234,80,13.908191285,0.772583422000025,14.6807747070001,44,0.886445641517639
credit,40,526,547,1234,80,13.908191285,1.28023995099989,15.1884312359999,55,0.935064911842346
credit,40,548,569,1234,80,13.908191285,0.868575040999986,14.776766326,61,0.947780072689056
credit,40,570,591,1234,80,13.908191285,0.451214721999691,14.3594060069997,35,0.876510143280029
credit,40,592,613,1234,80,13.908191285,0.961367679999739,14.8695589649998,39,0.875004947185516
credit,40,614,635,1234,80,13.908191285,0.647728038000082,14.5559193230001,43,0.880105912685394
credit,40,636,652,1234,60,13.908191285,0.196981081000104,14.1051723660001,27,0.868268489837647
