dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
contraceptive,40,584,883,931,152,40.647803828002,0.529388516995823,41.17719234499782,84,0.8567902445793152
contraceptive,40,584,932,980,152,43.22577565100073,1.2541134840030281,44.47988913500376,87,0.8610170483589172
contraceptive,40,584,981,1029,152,44.47446685599789,0.7546080019983492,45.22907485799624,86,0.863285481929779
contraceptive,40,584,1030,1078,152,46.831865654001376,0.9185825129989098,47.750448167000286,98,0.8971638083457947
contraceptive,40,584,1079,1127,152,48.960624731998905,0.8807779300022958,49.8414026620012,107,0.9092326760292053
contraceptive,40,584,1128,1176,152,51.1131586270003,0.6521536159998504,51.76531224300015,97,0.8957500457763672
contraceptive,40,584,1177,1225,152,53.317552024998804,0.42379071399955137,53.741342738998355,102,0.9020776152610779
contraceptive,40,584,1226,1274,152,55.115241985000466,0.5963771300030203,55.71161911500349,86,0.8554829359054565
contraceptive,40,584,1275,1323,152,57.40368365600443,0.5587960230022873,57.96247967900672,94,0.8761338591575623
contraceptive,40,584,1324,1372,152,59.54658517699863,1.0136077770002885,60.56019295399892,84,0.8446173667907715
contraceptive,40,584,1373,1421,152,61.91736466799739,1.0038668380002491,62.92123150599764,93,0.8695807456970215
contraceptive,40,584,1422,1470,152,64.07998995400158,0.39347111099959875,64.47346106500117,89,0.8803809285163879
contraceptive,40,584,1471,1472,0,64.56592794100288,0.0004640709994419012,64.56639201200232,0,0.0
