dataset,pct_nulls,start_index,end_index,nulls,seed,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
australian,20,253,275,36,1234,19.5150237639996,0.194827343998895,19.7098511079985,22,0.90655255317688
australian,20,276,298,36,1234,20.2848686180018,0.223846685000808,20.5087153030026,21,0.883729755878449
australian,20,299,321,36,1234,22.2437010130006,0.155780839002546,22.3994818520032,26,0.936661541461945
australian,20,322,344,36,1234,23.626251542998,0.179346095001165,23.8055976379992,19,0.883789837360382
australian,20,345,367,36,1234,24.7278968889987,0.153841216999354,24.881738105998,20,0.891920745372772
australian,20,368,390,36,1234,26.5245205430001,0.150191334000738,26.6747118770008,23,0.900144398212433
australian,20,391,413,36,1234,27.9511588450032,0.393698584000958,28.3448574290042,22,0.888572990894318
australian,20,414,436,36,1234,30.1907582379999,0.153001785001834,30.3437600230018,19,0.88333123922348
australian,20,437,459,36,1234,30.8269063319995,0.253022516997589,31.079928848997,29,0.957219243049622
australian,20,460,482,36,1234,32.5513351760001,0.177917528999387,32.7292527049995,25,0.931726694107056
australian,20,483,505,36,1234,33.9837600760002,0.189337365002757,34.1730974410029,17,0.855305016040802
australian,20,506,528,36,1234,35.4077839460006,0.21054043499953,35.6183243810001,19,0.886575937271118
australian,20,529,551,36,1234,37.0888473359992,1.19336639799712,38.2822137339963,27,0.933749973773956
australian,20,552,574,36,1234,38.4414554129999,0.628759100000934,39.0702145130008,20,0.887951135635376
australian,20,575,597,36,1234,40.3520895560005,0.137848597000811,40.4899381530013,22,0.899581253528595
australian,20,598,620,36,1234,41.4568846249977,0.258604600000581,41.7154892249982,22,0.893110573291779
australian,20,621,643,36,1234,43.3330623849997,0.5645434559965,43.8976058409962,24,0.927203714847565
australian,20,644,666,36,1234,44.510598588,0.186155390998465,44.6967539789985,22,0.914169728755951
australian,20,667,689,36,1234,45.9582493129983,0.802562541000953,46.7608118539993,20,0.878711462020874
australian,40,0,229,828,1234,12.3526819380004,0.970095413999843,13.3227773520002,478,0.893110871315002
